"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
0.0364563975565257,5.28108942880203,5.62703644657585,-1.78038875449679,10.8212454807952,3.36613953357888,5.72083872984856,5.38043030615786,3.68152147232476,6.98130989510384,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2
1.28922187311209,-2.14272627440576,6.48301472927604,1.51378107983754,1.09273877407057,-0.234056276831364,0.631380373699604,1.19307026586157,-0.813910073444477,0.485480089871574,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-6.52529815921337,-1.03674488651337,2.16165141979256,7.65567050624128,-3.1200780548712,1.23185244057203,-0.196872048985303,-2.23666672313096,1.75479580547304,1.33642722939481,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
-17.5980041654681,-3.27250838308872,0.819081017024137,-5.07119812163623,-4.34415938057725,0.834111598428344,-0.91402463889399,-1.10191068372782,-0.424732570106363,-0.196035651503511,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-1.74265934080222,1.48035551884868,-4.3054609905086,6.7655485377928,-0.692278068583121,6.04911164143094,4.69869346179871,5.55787195836799,5.37239984692023,7.35285153522805,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2.53718753354481,-0.211873589053774,5.76454859171995,4.03280512525775,1.52607599258257,3.59605316515052,4.54023817140471,3.32704452535441,4.38917327671565,5.33290295166824,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-5.13699042250098,4.9984649626831,1.50759740945511,-3.74962484187653,-1.66417916215439,0.41657298503636,-0.155396624940712,-1.39882140183376,1.39148673078513,-0.308925622883183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
6.5128293353952,15.301578826377,0.750937066778315,8.18449755616106,1.14305435199597,5.58826609284375,6.18126933942717,5.51683179898514,4.8680703131235,5.60035785033943,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-5.03291666216726,-2.66569507413533,-2.79550589004592,-0.510849266575482,-4.40206001967193,-0.279893686947374,-1.29810861591909,2.04483836173731,-0.786796246548927,0.0798160675778097,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
3.58386737626337,12.0095915953976,7.10389905339969,-1.9984055566575,5.67454860404072,5.18983833499681,3.85483011060322,5.25039307564002,5.75172571131226,5.73129068188174,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-3.6503435290048,0.669020369851884,-1.91041185397069,-0.0487692408524649,-9.34291320022903,0.686253934954716,-0.514438619633658,0.0233120822248887,0.207616789077406,-0.683265929531914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.00294851611639,9.61058839777837,7.68094674879646,12.102154782894,-5.86309502385189,4.82886568984348,3.85748222782007,3.89313702305985,5.31771378384428,4.31627403965218,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6.4182737987645,2.43136066038548,4.95093117459905,-1.02315706958293,-2.46722086481954,-1.41414789721388,0.67080862602425,0.0804678419843568,-0.241072566981851,-1.76739873361733,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
2.98603962900356,5.19362427655457,0.319380291081681,9.73967858693301,2.87188450681244,4.42324705156373,5.49856669279246,5.33985349889856,5.15436173478904,2.88746758896394,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1.1793205079436,-3.83869365755734,-0.128092800723713,-0.164089059975196,0.569315606649668,0.751268060781814,-1.16868554339522,-0.206543761935892,1.48100969277209,0.0641012362505028,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
0.612904243143274,-4.74175819754903,-4.67507345867633,1.63668914328219,-7.41660912725332,-0.72275881734128,1.46023395033458,-0.244412404082611,0.114271683820013,1.56044779561718,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.265571547223039,1.09402692902126,7.12835270881812,8.55741421374135,17.031098391786,5.03889600809311,5.08180016005646,4.17279696905237,6.41669168733362,2.91317764368324,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
9.94384997102587,-3.50149215464167,2.97958262793791,8.12552145317578,9.16350728405907,4.56478506443795,5.45827090030802,3.92187507248548,5.15102003255712,5.06615454709532,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-1.65381032064934,-3.7927430364849,5.55372496985667,2.84354943409384,11.098053282982,5.53990757209947,3.5995175134618,4.65317038981279,5.56436525112071,4.65763838115654,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-1.49277289907424,0.26254084330835,9.63196709225444,5.08304513379383,-8.20564860667883,0.910451412491732,-0.882268607909918,-0.397009013553034,-1.11156026771429,1.50715148279286,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.247855033031799,6.27547339425701,8.31222804118565,12.2542745341616,5.43238769215906,5.36099218281807,5.21952195843942,6.50742843639385,3.36815663508933,3.40654362497721,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4.61926655808966,10.898979249061,4.70491289279477,4.95502413521735,12.3077866539963,7.94369830705576,5.08609619209828,5.53555866912719,5.15377261267407,5.01539488274705,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5.09319272155373,6.61988250210535,7.76016635163826,2.80642816900354,11.9507870923188,5.11717927857598,4.54640333036204,5.30422206056415,6.15070468703897,4.14132974650632,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-6.37138239971147,0.669941492264286,0.742751386233731,-8.18333775724794,-5.87143104539814,0.861797727712378,1.23620196432925,-0.119215311029566,-0.0754462263343791,0.098260177114541,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.21053056814122,7.79442420129586,2.35122440532515,2.00209800664488,2.0184001393248,-1.32085312710543,0.770824442859683,0.653672376099935,-1.32038694752315,-0.444454902938011,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-4.65678568302431,2.97316723764056,0.821494927241128,-3.87923278464723,0.827230863402718,1.71278717530342,0.56755705633829,-0.282613101648683,1.20875368747642,0.118579169775657,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.30693316301881,-8.35625055651994,-2.28752088504439,-6.94843327933016,2.50543351020354,-0.437725900818509,-0.441587085584171,0.587727735667066,-2.21875115321311,-1.1123817667542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-1.6570522862364,7.72342267853908,-0.403335915372744,6.60003842069948,-1.90148515118806,4.82927927348264,4.85309414066121,3.88763459525985,4.57582740712398,4.70499022561644,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2.02381824291678,-0.8333053328372,-0.749715755209841,2.63564082941808,8.53250178552983,1.13724289645046,1.15570215049914,-1.42910288654879,-0.599981798915413,-1.47145130360189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10.6400766230876,2.53030008506456,12.2533769436323,-0.0371851145024693,-0.264974273504046,3.89886231261847,5.2142662623389,4.61882251846723,4.19332327263594,6.11216785458848,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-0.596351407777414,-2.68242691333919,-2.73619303332511,-5.21784272930046,4.57567023796114,0.25209956622279,0.419637012745638,0.161727884443566,0.532335819479918,0.35040809119352,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
10.6260490883571,1.93262949575029,10.7250332710747,1.55500013603658,7.57123025850056,4.42210044824895,4.7460846715298,6.06715346157117,5.25614782545932,5.27558984393077,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
-0.817112835353189,9.2453941664106,7.81312851087278,9.4698924477349,8.48495754490965,5.10381802811994,5.70949027770614,4.56696018393191,5.22707703661712,5.90735693404784,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7.79703488996472,1.93725707068854,7.4771819906174,1.32817272743818,7.69485101286903,7.11266830233775,4.5249924873484,4.59180219798388,6.39462296388778,4.83073773679194,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
